,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
W2V+LEXVEC,"[1,2]",0.010,0.008,0.639,0.578,0.4697717521,0.7296384594,0.7300286351,0.8074120756,0.8054362288,0.8068578249,0.7293516139,0.6654249707,0.8051750386,0.6964336731,0.6960529303,0.7911617221,0.486527353,0.8060532328,0.5717798699,0.371327754,0.5416763381
W2V+LEXVEC,"[8,1]",-0.017,-0.018,0.612,0.552,0.4421355416,0.6850813544,0.6718836127,0.7727389555,0.771011966,0.7720486577,0.6875151797,0.6244984865,0.7685241377,0.649428817,0.6527517141,0.7618319146,0.4837399797,0.7880271942,0.5596557239,0.363717328,0.5120702032
W2V+LEXVEC,"[1,8]",0.003,0.003,0.632,0.573,0.4775140048,0.7195782093,0.7399764959,0.8092244739,0.8075399809,0.8085111372,0.7378317916,0.6755605118,0.8068133081,0.7163708626,0.7045292609,0.7552753257,0.4505207652,0.792478068,0.5818058165,0.3557346787,0.5304236987
W2V+SKE,"[1,1]",0.023,0.020,0.633,0.565,0.4342501292,0.7436660534,0.7189735888,0.797903766,0.7968882711,0.7976023791,0.7529405523,0.7004966725,0.7945140929,0.7250209223,0.7132666094,0.7792505857,0.4955390554,0.7726716799,0.5848259107,0.3528175491,0.5309239452
W2V+SKE,"[2,1]",0.016,0.018,0.626,0.563,0.4414364739,0.7221733548,0.699849318,0.7887283129,0.7877378368,0.7884383481,0.7248969562,0.6710660337,0.7848817281,0.6899733536,0.6860584957,0.784954818,0.4859622362,0.7748971167,0.572047958,0.363289957,0.5270116269
W2V+SKE,"[1,2]",0.014,0.011,0.624,0.556,0.4233118084,0.7459416285,0.7203571257,0.7951640974,0.7953680173,0.7951693283,0.7529300489,0.6990531303,0.7833732864,0.7348018729,0.7149842271,0.7443695329,0.4841643201,0.744186088,0.592611407,0.3324414829,0.5238366101
W2V+SKE,"[8,1]",0.002,0.008,0.612,0.553,0.4418689257,0.6876132965,0.6741535841,0.7732852755,0.7722457164,0.772797127,0.6906277246,0.6291875616,0.7697521226,0.6537044226,0.6543470734,0.7634929171,0.4781350668,0.7884722816,0.5602438763,0.3637838657,0.5154844036
W2V+SKE,"[1,8]",0.001,0.001,0.611,0.546,0.4131405423,0.7432193148,0.7150463999,0.7895313844,0.790335532,0.7899120111,0.7431580928,0.6866165454,0.7713444861,0.7287134908,0.7094105953,0.7144277772,0.4731918032,0.7123623408,0.5821723859,0.3164048145,0.515565446
W2V+PDC,"[1,1]",0.006,-0.004,0.610,0.537,0.4359946991,0.6882407613,0.6995943453,0.7845376117,0.7811787417,0.783685628,0.772296495,0.7091039336,0.8074143895,0.7674603296,0.6838098416,0.7959917425,0.3758147377,0.8376544363,0.5215790117,0.3136782776,0.4849692505
W2V+PDC,"[2,1]",0.022,0.015,0.626,0.556,0.4488397426,0.7113780166,0.7122370271,0.7957628168,0.7969242888,0.796352539,0.7725510313,0.7115178362,0.8159930687,0.7532144538,0.6976527899,0.8068538248,0.4233730368,0.8323133879,0.5343952626,0.3405576409,0.5034210005
W2V+PDC,"[1,2]",-0.003,-0.013,0.601,0.528,0.4296374742,0.6752812788,0.6908336339,0.7772879277,0.7717157615,0.7757931835,0.7679360949,0.7031359176,0.8006296297,0.7682293355,0.6764038343,0.7898504043,0.3495901005,0.8347613684,0.5162199859,0.3012289376,0.4752000462
W2V+PDC,"[8,1]",0.013,0.014,0.617,0.555,0.4461447151,0.698738866,0.6846651182,0.7801485115,0.7818994568,0.7805099388,0.7135616345,0.6489618403,0.7870974087,0.6750874772,0.670282665,0.7655691703,0.4791426238,0.7971514854,0.5587994834,0.3637376646,0.502588224
W2V+PDC,"[1,8]",-0.007,-0.017,0.597,0.524,0.4270351923,0.672421136,0.6877506852,0.7744719703,0.7683510762,0.7728392738,0.7652957925,0.6999286293,0.7966128568,0.7665623184,0.6711557248,0.7902437996,0.3432189616,0.8280850578,0.5112548855,0.2963137242,0.4710942715
FT+jointcHYB,"[1,1]",0.004,0.011,0.678,0.629,0.5575164624,0.6632223808,0.7270123359,0.8094561334,0.8168050645,0.8121118033,0.7794854399,0.7011190829,0.8413173873,0.7807763617,0.703844464,0.8820797542,0.3308688468,0.8821631737,0.8218540599,0.5650785218,0.4318795686
FT+jointcHYB,"[2,1]",0.030,0.038,0.704,0.656,0.5683928384,0.7044246308,0.7713076018,0.8403060962,0.8488607448,0.8433499615,0.8045177054,0.7426814756,0.8538066819,0.7838121758,0.751477977,0.8963731179,0.4014581694,0.8808279115,0.80631863,0.5603062864,0.5106648778
FT+jointcHYB,"[1,2]",-0.013,-0.007,0.661,0.611,0.5464581879,0.6349770751,0.7020454656,0.787563034,0.7940306851,0.7899966578,0.7632309931,0.6783302381,0.8293717916,0.7752927969,0.6787762468,0.8664750728,0.3147097241,0.8761544941,0.819121203,0.5604285052,0.3953135713
FT+jointcHYB,"[8,1]",0.013,0.014,0.687,0.632,0.5187580045,0.7279433908,0.7736043848,0.8404482059,0.844642011,0.8419446975,0.7929840472,0.7408224932,0.838627584,0.744550991,0.7682566263,0.8779709586,0.4584887109,0.8656949409,0.6595349423,0.4548986173,0.5869729523
FT+jointcHYB,"[1,8]",-0.020,-0.015,0.654,0.603,0.5413724466,0.6251891833,0.6930350705,0.7778649004,0.7839954183,0.7802598793,0.7563991629,0.6684594089,0.8255070822,0.7732555177,0.668340782,0.8632623442,0.3050222949,0.8772672126,0.8163527833,0.5580491378,0.380953836
FT+UKB,"[1,1]",0.038,0.048,0.712,0.666,0.5653101522,0.7237907519,0.7696058204,0.840492067,0.8458548265,0.842592533,0.8056929918,0.7560831716,0.842414827,0.7898888301,0.7563375598,0.8906688856,0.4451974052,0.8841660668,0.7863624826,0.5580248999,0.5643557678
FT+UKB,"[2,1]",0.034,0.036,0.708,0.654,0.5459230967,0.7409315559,0.785443908,0.8469555596,0.8515223008,0.848730064,0.8066331119,0.7613980316,0.8452990134,0.7614925759,0.7802431974,0.8874124465,0.4918909348,0.8694781835,0.7198219302,0.5029052778,0.5905218215
FT+UKB,"[1,2]",0.001,0.018,0.675,0.636,0.548569347,0.647815735,0.7195030406,0.8010334575,0.8027989567,0.8024024062,0.761809764,0.684006921,0.8216990381,0.7841857886,0.6687098073,0.8630000807,0.3149590995,0.8950707075,0.7989927132,0.5600451287,0.510136598
FT+UKB,"[8,1]",0.004,0.004,0.678,0.622,0.5073995691,0.7275418337,0.7646530985,0.8368136602,0.839809613,0.8379086667,0.7876267814,0.7370269145,0.8348102152,0.7403893121,0.763916079,0.8665406387,0.4535776247,0.8579059118,0.6319574341,0.432965511,0.5873423552
FT+UKB,"[1,8]",-0.038,-0.015,0.636,0.603,0.5272705256,0.5636283417,0.6815952218,0.7588185708,0.7599282413,0.7597842729,0.7170877668,0.6262202387,0.7846177687,0.7667600149,0.5966823733,0.8270262631,0.2656511505,0.8792701057,0.7695276462,0.5466388973,0.4636051938
FT+LEXVEC,"[1,1]",0.001,0.001,0.675,0.619,0.5029939322,0.7327836519,0.7676203171,0.8386331316,0.8408046595,0.8394216946,0.7870535974,0.7357097291,0.8359808176,0.7349208258,0.7640150858,0.8574051248,0.4573665217,0.8496717954,0.622875267,0.421172276,0.5872857219
FT+LEXVEC,"[2,1]",0.001,0.001,0.675,0.619,0.5033208499,0.7288437215,0.7633777901,0.8365798175,0.8394776687,0.8375983245,0.7861392583,0.7348394793,0.8347779376,0.7366129739,0.763946081,0.8622351453,0.4515886549,0.8518972323,0.6246424597,0.4247557343,0.5871524449
