,vs media (NO MAPPING),,vs mejor word embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Media (Diferencia),Media Ponderada (Diferecia),Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
Normalize: False. Generate words: False,,,,,,,,,,,,,,,,,,,,,,,
FT + jointcHYB + UKB + LEXVEC,0.032,0.029,0.062,0.047,0.716,0.657,0.5774812959,0.7498340929,0.7951676531,0.853934742,0.8630737941,0.8571119646,0.8179629774,0.769071677,0.8663827675,0.803935334,0.7564958207,0.8952584978,0.4586395428,0.8972961444,0.7756061328,0.5306759817,0.5205544437
GLOVE + W2V + FT + jointcHYB + UKB,0.040,0.037,0.032,0.025,0.707,0.645,0.5530407141,0.7431957087,0.7907735904,0.8530484549,0.8605484826,0.8557026399,0.8154249806,0.769746205,0.8608625738,0.8093384799,0.7494813402,0.9017713761,0.4496338737,0.8946256201,0.7499599529,0.4942763323,0.5337349242
GLOVE + W2V + FT + jointcHYB + LEXVEC,0.037,0.033,0.007,-0.003,0.682,0.617,0.5110465226,0.734918352,0.7785653938,0.8433420553,0.8481359364,0.8450324768,0.8009101378,0.7535826565,0.8468877906,0.7786653652,0.7500393784,0.876528509,0.4520270729,0.8654723972,0.6652140324,0.4272773939,0.548510702
GLOVE + W2V + FT + UKB + LEXVEC,0.039,0.035,0.015,0.007,0.690,0.627,0.5225678933,0.7527488089,0.78945398,0.8498578303,0.8562751369,0.8520900267,0.8078599604,0.7668831171,0.8499670774,0.7872852677,0.7612976496,0.8784954857,0.4471964304,0.8663625719,0.6736396573,0.4347478553,0.5667268206
GLOVE + W2V + jointcHYB + UKB + LEXVEC,0.051,0.046,0.044,0.024,0.698,0.634,0.545047914,0.7451187156,0.7868946835,0.8461305373,0.8537883999,0.84882912,0.8137396667,0.7695069894,0.8556830886,0.8047361724,0.7499336212,0.8871283277,0.4468022564,0.8846111542,0.7251262441,0.4768067046,0.5230553488
GLOVE + FT + jointcHYB + UKB + LEXVEC,0.036,0.038,0.034,0.027,0.709,0.647,0.5574160737,0.7542128933,0.7995034318,0.857464086,0.8655894666,0.8603349899,0.8221707376,0.7767843169,0.8642036682,0.8091324064,0.7654709355,0.8906033198,0.4511019707,0.8830533484,0.7558141209,0.4907127698,0.5350980546
W2V + FT + jointcHYB + UKB + LEXVEC,0.038,0.028,0.032,0.027,0.707,0.647,0.5588468274,0.7434315156,0.7910462368,0.8479346749,0.8564460126,0.850786882,0.8082222586,0.7606470147,0.8573299655,0.7928995132,0.7462538691,0.8979029887,0.4668065867,0.8812729989,0.7343014214,0.5006460991,0.5384304458
GLOVE + W2V + FT + jointcHYB + UKB + LEXVEC,0.042,0.037,0.027,0.018,0.702,0.638,0.5427717795,0.7482141576,0.7926000434,0.8511040426,0.8585067067,0.8537299094,0.8131480676,0.7689306973,0.8578413868,0.7972940719,0.7571153631,0.8953896296,0.4543860836,0.8830533484,0.7211268078,0.4711904166,0.5446688543
Normalize: True. Generate words: False,,,,,0.689,,,,,,,,,,,,,,,,,,
GLOVE + W2V,0.040,0.047,0.015,0.005,0.644,0.576,0.4542629153,0.7113810625,0.7311099516,0.8246279723,0.8247734192,0.8247428638,0.7632968779,0.7113412366,0.8159012568,0.752530893,0.7073277026,0.8423686811,0.4388865991,0.8498943391,0.5812887895,0.3572925808,0.5337094147
GLOVE + FT,0.043,0.045,-0.005,-0.014,0.670,0.606,0.4817765543,0.7386059766,0.7695970883,0.8512428532,0.8550812755,0.8525093703,0.7979331819,0.7466888988,0.8454044537,0.7742021153,0.7552994887,0.8496464947,0.4436428312,0.8401024169,0.6376830293,0.3839617543,0.5714786998
GLOVE + jointcHYB,0.041,0.046,0.029,0.013,0.683,0.619,0.5326563798,0.7268201984,0.7749190597,0.8410326958,0.8483288059,0.8435639847,0.8084103644,0.751543325,0.8539035148,0.8109368058,0.7415345458,0.8788014598,0.4059328487,0.8458885527,0.7597068691,0.4801773149,0.4574065579
GLOVE + UKB,0.054,0.062,0.075,0.033,0.705,0.643,0.5577171916,0.7508456007,0.7893282741,0.8528332568,0.8622567657,0.8562334182,0.8174203486,0.7684503915,0.8610856482,0.8291567164,0.7473871967,0.8963512627,0.4122416437,0.8834984358,0.7857524454,0.5056192863,0.4993665907
GLOVE + LEXVEC,0.045,0.055,0.012,0.005,0.642,0.578,0.4658910418,0.7293569633,0.7528486871,0.8321431636,0.8315758637,0.8320216429,0.7773784906,0.7324064545,0.8223438736,0.7597769723,0.7385605921,0.774923237,0.4114995508,0.8227440093,0.6109945887,0.3456815153,0.536093765
